sentence,divergence,sentiment_orig,n_retained,mean_delta,worst_drop,flip_rate,mean_local_shift
She's like that,0.9135799407958984,0.6974606638153394,1,-0.0073730796575546265,-0.0073730796575546265,0.0,0.09710777
"Of the earth, and the Lord of hosts is there",0.890155017375946,0.7978738049666086,5,0.0038442413012186984,-0.06351393461227417,0.0,0.043851268
I'm with her so I can be myself.,0.9239689707756042,0.8472826679547628,4,-0.007614985108375577,-0.06671979029973352,0.0,0.023092926
And the sun is in the midst,0.7812814116477966,0.7588379085063934,1,-0.0309981803099314,-0.0309981803099314,0.0,0.07291043
His name is above them all,0.9241142868995667,0.8639382918675741,1,-0.006622215112050411,-0.006622215112050411,0.0,0.021663606
The wind is not yet,0.6916972994804382,0.10147836804389954,2,-0.05021215560069929,-0.05821669202608367,0.0,0.057019293
The rain is not yet,0.6705741286277771,0.12346037477254868,1,-0.07244648784399033,-0.07244648784399033,0.0,0.0519135
The winds are not yet,0.696276843547821,0.09832432928184669,2,-0.05660233433203152,-0.06717518476458888,0.0,0.053279012
it's a different light,0.8391688466072083,0.8538891871770223,2,-0.07770730555057526,-0.11361807584762573,0.0,0.05251655
And you want to get to the beach,0.8290844559669495,0.7910110553105673,3,0.014336111644903782,-0.12501111874977755,0.0,0.06559106
The wind is strong and the rain is not,0.5751414895057678,0.7085859676202139,5,-0.13322481506814562,-0.6110150065893929,0.2,0.056212664
Of me and not of Him,0.8841492533683777,0.04923902824521065,2,0.002913432040562231,-0.0012689074501395226,0.0,0.037573665
The winds are but a mist,0.6899290680885315,0.044031236320734024,4,0.024423718743491918,0.016765140617887177,0.0,0.03692791
And the wind is not yet,0.6889358162879944,0.11036023963242769,3,-0.06250854048670994,-0.06687186223765215,0.0,0.067328595
And the wind is but a mist,0.6947424411773682,0.05539673566818237,4,0.03165826942616452,-0.013074697460979223,0.0,0.03867984
The winds are mild but not yet,0.6268975138664246,0.19730100532372793,3,0.03702091756794187,-0.06940665592749914,0.0,0.032494504
But I see the Lord of hosts,0.8792929649353027,0.8479795455932617,5,-0.025253480672836327,-0.1532308955987295,0.0,0.05995239
I see her like a star,0.9049398303031921,0.9314138690630595,2,0.0010777513186137067,-0.01477193832397461,0.0,0.047783285
I'll go in the dark,0.834820568561554,0.025202635520448286,1,-0.004285391885787249,-0.004285391885787249,0.0,0.038045764
I see the Lord of hosts.,0.9000745415687561,0.8992827335993449,4,-0.08951544140775994,-0.17774208883444464,0.0,0.017084032
"Of His people, the nations, He is at their head",0.8892690539360046,0.7459492435057958,5,-0.005665517846743295,-0.034083351492881775,0.0,0.022165764
"As mentioned in the comments in the question, I think the best way to write this is to use an abbreviations.",0.9409451484680176,0.06720819289330393,5,0.006619959239227077,-0.002580648967220142,0.0,0.0096187
Is so bright in the sky,0.7745270133018494,0.9865500926971436,1,-0.08135402202606201,-0.08135402202606201,0.0,0.08252072
"I'll be free, I'll be free",0.8889917731285095,0.9424466490745544,5,0.013596411546071385,-0.0012411872545877722,0.0,0.043896772
"Just the same, it's all the same",0.9157562255859375,0.5436434460182985,2,-0.025946030082802024,-0.14552565353612107,0.5,0.048897415
When I want to see the world is not yet,0.8372881412506104,0.5782319903373718,5,-0.15486815124750136,-0.48519672577579814,0.4,0.03493427
It's a light and it's a light,0.8347985744476318,0.9190849661827087,2,0.00334604581197101,-0.001318216323852539,0.0,0.04295242
Of the waters of the sea,0.8815129399299622,0.7042937477429708,4,-0.11074915900826458,-0.44178291658560437,0.25,0.044140548
I'm so happy to be here,0.89152592420578,0.9949414134025574,4,0.0007655123869577951,0.0002955794334411621,0.0,0.052446187
My heart is in my mouth,0.857307493686676,0.7079449643691381,2,0.05399564156929648,0.005246847867965698,0.0,0.059840977
The wind is still,0.7287601828575134,0.5662610332171122,1,0.12933926532665896,0.12933926532665896,0.0,0.07816672
To make us strong and strong,0.9170714020729065,0.9453590710957845,5,0.0126554648081461,0.0003600915273029859,0.0,0.04854218
"[5] Now, now, the Lord is in the midst",0.9040793776512146,0.8924721082051595,1,0.03621387481689453,0.03621387481689453,0.0,0.08038437
I think is right,0.9136256575584412,0.7918855647246043,1,0.013576120138168335,0.013576120138168335,0.0,0.0664168
Winds are not yet,0.7000691890716553,0.10266507851580779,1,-0.05155945072571437,-0.05155945072571437,0.0,0.05070895
"Of the great and the small,",0.8770639896392822,0.9042629798253378,3,-0.035626133282979366,-0.06278326114018762,0.0,0.044169705
A light that can make the world a better place,0.827321469783783,0.982340931892395,1,0.0015580455462137488,0.0015580455462137488,0.0,0.030998766
"Then I'll go on the other side,",0.8516628742218018,0.6801786621411642,2,-0.20557282057901227,-0.375301950921615,0.5,0.050245553
And where the most beautiful flowers grow,0.8769935965538025,0.9807684620221456,3,-0.02621908320320983,-0.043526510397593254,0.0,0.04963851
The sun is still shining bright and the rain still falling,0.6920554041862488,0.9088430205980936,5,-0.06917534073193865,-0.1678855220476786,0.0,0.029991616
I'm on the other side of the world,0.8295206427574158,0.7071917057037354,5,0.05532711744308474,-0.00880969564119971,0.0,0.050554655
"This is what we call a ""realistic"" view. The sky is not yet too bright and the sun isn't yet high enough.",0.7915441989898682,0.43141629298528034,4,-0.07313370471820235,-0.2997789861013492,0.25,0.008007422
"And you know me, dear,",0.8698963522911072,0.8572720686594645,2,0.012944276134173094,-0.027959436178207397,0.0,0.072470725
Tired of the sun,0.7633946537971497,0.014409711516539877,3,0.003365629963809624,0.0027487531381969656,0.0,0.056743443
"And when the trumpet sounds, I see stars",0.8954991698265076,0.896512488524119,5,-0.0022205273310343054,-0.05080892642339063,0.0,0.03269881
Where the most beautiful flowers grow,0.9058372378349304,0.9817544221878052,4,-0.0587076147397359,-0.11122047901153564,0.0,0.06846085
But we must always be strong,0.854743480682373,0.9233796993891398,4,-0.02412746349970496,-0.1322953701019287,0.0,0.05129169
I'll be with you always,0.8525685667991638,0.9653612375259399,4,0.013016715645790128,0.004931390285491943,0.0,0.07380335
"Rain, a rainbow, the clouds are nothing",0.7174618244171143,0.1829370823688805,5,0.08674483793632437,-0.14536416489863768,0.0,0.047314942
And the sun is shining,0.7425305247306824,0.9750999808311462,2,0.014826764663060488,0.010874251524607303,0.0,0.06450644
"When the trumpet sounds, I see stars",0.895226240158081,0.8789953589439392,5,-0.010969384511311842,-0.05407905578613281,0.0,0.04044185
Now I know that when I am with her,0.9259496331214905,0.812648723522822,3,0.020182745324240803,-0.042516738176345825,0.0,0.06445038
It's a great thing to have her,0.9043154120445251,0.9929395914077759,1,0.0008440216382344934,0.0008440216382344934,0.0,0.022051394
The day is nigh that long to see,0.8097111582756042,0.10039995300273101,1,-0.021933202010889857,-0.021933202010889857,0.0,0.011633635
But the waves are strong,0.7722967267036438,0.8531190752983093,3,0.049993038177490234,-0.01239134867986047,0.0,0.032706995
My soul is in my hand,0.8873980045318604,0.7797636886437734,4,0.051317853232224736,0.017280538876851326,0.0,0.06115885
The weather is but a dream,0.6187878251075745,0.4917341470718384,4,0.1843696719345947,-0.12582807304958504,0.75,0.07745129
The weather is but a joke,0.5475019812583923,0.012510613848765692,3,-0.005403883561181526,-0.006732434732839466,0.0,0.06022392
"[Chorus, ""I'm with her All the time]""",0.9601247906684875,0.8576938311258951,4,-0.012324884533882113,-0.02352861563364661,0.0,0.0221228
I can feel the sun,0.7943413853645325,0.9071106513341268,1,0.06080498298009229,0.06080498298009229,0.0,0.068724215
And the wind of the wind is strong,0.7139914631843567,0.7725985944271088,3,0.02304990424050224,-0.022066126267115238,0.0,0.03531049
And the sky turn a glorious blue,0.81062251329422,0.9865181048711141,4,0.004023844997088105,0.0023824572563171387,0.0,0.037442073
I'll get a look at it,0.9560256600379944,0.7223075578610102,1,-0.003416091203689575,-0.003416091203689575,0.0,0.06258333
And I'm here to show you how it is.,0.8237646222114563,0.8186809619267782,1,-0.050854096810023064,-0.050854096810023064,0.0,0.058140576
